Crimes Against Persons,-11%,Adult Arrests,3%,Jail Bookings,7%,Felony Filings,5%,Felony Probation Admissions,8%,Felony Probation Caseload,4%,Average Daily Jail Population,10%
Crimes Against Property,-4%,Juvenile Arrests,-14%,Average Daily Jail Population,10%,Misdemeanor Filings,-6%,Felony Prison Admissions,6%,Parole population,-4%,Pretrial Supervision,-12%
,,,,,,Domestic Violence Filings*,-9%,,,Prison population,5%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Q1 - Q3 2024/2025 comparison,,,,Q1 - Q3 2024/2025 comparison,,,,,
,,,,Jail Bookings,15%,,,Felony Probation Admissions,-13%,,,,
,,,,Average Daily Jail Population,1%,,,Felony Prison Admissions,14%,,,,
